序號,標章機關名稱,網站名稱,網址,標章等級,檢測日期,標章狀態,大分類,分類
306,民間團體,大葉大學餐旅管理學系,https://hom.dyu.edu.tw/,A,2023/7/12,啟用,教育機構,大學/技專校院
311,民間團體,MMA金融友善網,https://accessibility.sinopac.com,AA,2023/8/2,啟用,金融服務業,保險/金融友善服務
323,民間團體,長庚大學,https://www.cgu.edu.tw,AA,2023/7/13,啟用,教育機構,大學/技專校院
333,民間團體,全國農業金庫友善個人網路銀行,https://ibank.agribank.com.tw/accBankWeb/,AA,2023/7/14,啟用,金融服務業,銀行/證券/期貨/投信
334,民間團體,全國農業金庫WebATM,https://ibank.agribank.com.tw/eatmWeb/,AA,2023/7/25,啟用,金融服務業,銀行/證券/期貨/投信
335,民間團體,財團法人天主教靈醫修女會附設宜蘭縣私立瑪利亞老人長期照顧中心(養護型)官網,http://www.mdb1989.org.tw,AA,2023/8/7,啟用,財團法人/公協會,財團法人/基金會/公協會
341,民間團體,北投溫泉博物館,https://hotspringmuseum.taipei,A,2023/8/7,啟用,生活休閒場館,博物館/藝文/展演機構
346,民間團體,醒吾科技大學入口網,https://www.hwu.edu.tw/,AA,2024/9/13,啟用,教育機構,大學/技專校院
347,民間團體,友照醫療儀器,https://www.ucare-medical.com/,A,2024/8/16,啟用,醫療照護,醫療器材/健康照護服務公司
355,民間團體,大展證券金融友善服務專區,https://www.tachan.com.tw/ow/friendly/,AA,2024/6/25,啟用,金融服務業,銀行/證券/期貨/投信
360,民間團體,南山產物金融友善服務專區,https://accessibility.nanshangeneral.com.tw/,AA,2024/7/23,啟用,金融服務業,保險/金融友善服務
369,民間團體,大葉大學觀光餐旅學院,https://cth.dyu.edu.tw/,A,2024/6/25,啟用,教育機構,大學/技專校院
378,民間團體,嘉南藥理大學,https://www.cnu.edu.tw,A,2024/10/18,啟用,教育機構,大學/技專校院
386,民間團體,財團法人金融聯合徵信中心個人線上查閱信用報告服務,https://apply.jcic.org.tw,A,2023/10/11,啟用,財團法人/公協會,財團法人/基金會/公協會
391,民間團體,長庚大學英文版,https://wwwen.cgu.edu.tw/,AA,2024/8/7,啟用,教育機構,大學/技專校院
393,民間團體,2023 Meet 花蓮創新創業嘉年華,https://meethualien.tw/,A,2024/8/23,啟用,生活休閒場館,觀光/休閒/文化園區
403,民間團體,加斌有限公司,http://www.cabindesigntaipei.com/,A,2024/7/30,啟用,一般企業,科技/資訊公司
405,民間團體,台新人壽金融友善服務專區,https://www.taishinlife.com.tw/pot/media/potmedia/friendly/,A,2024/7/30,啟用,金融服務業,保險/金融友善服務
450,民間團體,財團法人生物技術開發中心官方網站,https://www.dcb.org.tw/,AA,2024/10/18,啟用,財團法人/公協會,政府捐助/委辦法人機構
453,民間團體,康和期貨金融友善服務專區,https://www.concordfutures.com.tw/Promote/ccdfirm_Friendly/,A,2024/10/18,啟用,金融服務業,銀行/證券/期貨/投信
470,民間團體,大葉大學烘焙暨飲料調製學士學位學程,https://bbp.dyu.edu.tw/,A,2024/7/23,啟用,教育機構,大學/技專校院
478,民間團體,財團法人臺灣博物館文教基金會,https://www.taiwan-museum.org.tw/,A,2024/11/27,啟用,財團法人/公協會,財團法人/基金會/公協會
479,民間團體,財團法人車輛研究測試中心輪胎商品性能效率資訊網,http://tire.artc.org.tw/,AA,2023/8/22,啟用,財團法人/公協會,政府捐助/委辦法人機構
485,民間團體,兆豐證券 金融友善服務專區,https://www.megasec.com.tw/emegaTranAccessibility/,A,2024/7/29,啟用,金融服務業,銀行/證券/期貨/投信
486,民間團體,兆豐國際投顧 金融友善服務專區,https://www.megasec.com.tw/emegaResearchAccessibility/,A,2024/9/27,啟用,金融服務業,保險/金融友善服務
487,民間團體,兆豐期貨 金融友善服務專區,https://www.megasec.com.tw/emegaFuturesAccessibility/,A,2024/11/12,啟用,金融服務業,銀行/證券/期貨/投信
490,民間團體, 中國信託綜合證券友善金融服務專區,https://www.ctbcsec.com/friendly/,AA,2024/9/27,啟用,金融服務業,銀行/證券/期貨/投信
499,民間團體,公勝保險經紀人股份有限公司官網,https://www.goldennet.com.tw/,A,2024/8/7,啟用,金融服務業,保險/金融友善服務
503,民間團體,工業技術研究院_車輛耗能研究網站,https://auto.itri.org.tw/,AA,2024/9/23,啟用,財團法人/公協會,政府捐助/委辦法人機構
505,民間團體,德明財經科技大學,https://www.takming.edu.tw/,A,2024/10/18,啟用,教育機構,大學/技專校院
509,民間團體,大葉大學觀光旅遊學系,https://ttm.dyu.edu.tw/,A,2024/11/13,啟用,教育機構,大學/技專校院
513,民間團體,永豐銀行 公平待客金融友善網,https://bank.sinopac.com/sinopacBT/webevents/TCF/,A,2024/10/14,啟用,金融服務業,銀行/證券/期貨/投信
525,民間團體,嘉義縣輔具資源中心,https://chiayiat.tw/,A,2024/7/30,啟用,輔具資源中心,輔具資源中心
526,民間團體,南開科技大學董事會,https://nkbod.nkut.edu.tw/,A,2024/8/30,啟用,教育機構,大學/技專校院
528,民間團體,南開科技大學秘書室,https://nkpre.nkut.edu.tw/,A,2024/8/29,啟用,教育機構,大學/技專校院
529,民間團體,德明財經科技大學電算中心,https://tmcc.takming.edu.tw,A,2024/8/27,啟用,教育機構,大學/技專校院
532,民間團體,將來銀行 NEXTBANK,https://accessibility.nextbank.com.tw/,A,2023/9/25,啟用,金融服務業,銀行/證券/期貨/投信
536,民間團體,新光銀行金融友善服務專區,https://nbankAccessible.skbank.com.tw/Accessible.Web,A,2024/4/8,啟用,金融服務業,銀行/證券/期貨/投信
539,民間團體,微源科技有限公司官方網站,https://www.weiyuan.com.tw/,AA,2024/8/27,啟用,一般企業,科技/資訊公司
544,民間團體,南開科技大學教務處,https://nkaao.nkut.edu.tw/,A,2024/8/30,啟用,教育機構,大學/技專校院
545,民間團體,南開科技大學招生事務處,https://nkrc.nkut.edu.tw/,A,2024/8/30,啟用,教育機構,大學/技專校院
547,民間團體,南開科技大學學生事務處,https://nkstu.nkut.edu.tw/,A,2024/8/29,啟用,教育機構,大學/技專校院
549,民間團體,亞東證券股份有限公司,https://www.osc.com.tw,A,2024/9/23,啟用,金融服務業,銀行/證券/期貨/投信
551,民間團體,桃園市蘆竹國民運動中心,http://www.lzsports.com.tw/,A,2024/8/30,啟用,生活休閒場館,運動中心/場館
556,民間團體,台中銀行簡便個人網路銀行,https://ibank.tcbbank.com.tw/SIB/,A,2023/12/11,啟用,金融服務業,銀行/證券/期貨/投信
561,民間團體,第一基金會AAC跨越溝通鴻溝平台,https://aac.diyi.org.tw/,A,2024/8/23,啟用,財團法人/公協會,財團法人/基金會/公協會
563,民間團體,南開科技大學人事室,https://nkpcx.nkut.edu.tw/,A,2024/8/23,啟用,教育機構,大學/技專校院
565,民間團體,南開科技大學會計室,https://nkacc.nkut.edu.tw,A,2024/9/26,啟用,教育機構,大學/技專校院
567,民間團體,元大證券金融友善服務專區,https://friendly.yuanta.com.tw/,AA,2024/9/23,啟用,金融服務業,銀行/證券/期貨/投信
568,民間團體,台北富邦銀行友善網路ATM,https://accessible.taipeifubon.com.tw/BFS/common/BFA/Index.faces,A,2023/10/30,啟用,金融服務業,銀行/證券/期貨/投信
570,民間團體,南開科技大學福祉科技與服務管理研發中心,https://nkgtsmc.nkut.edu.tw/,A,2023/11/2,啟用,教育機構,大學/技專校院
572,民間團體,南開科技大學高教深耕計畫辦公室,https://nktep.nkut.edu.tw/,A,2024/8/28,啟用,教育機構,大學/技專校院
573,民間團體,南開科技大學自動化工程系,https://nkae.nkut.edu.tw/,A,2024/8/23,啟用,教育機構,大學/技專校院
574,民間團體,南開科技大學電機與資訊技術系,https://nkei.nkut.edu.tw/,A,2024/8/23,啟用,教育機構,大學/技專校院
576,民間團體,南開科技大學多媒體動畫應用系,https://nkdmaa.nkut.edu.tw/,A,2024/8/22,啟用,教育機構,大學/技專校院
579,民間團體,南開科技大學行銷與流通管理系,https://nkmlm.nkut.edu.tw/,A,2024/8/30,啟用,教育機構,大學/技專校院
586,民間團體,南開科技大學餐飲管理系,https://nkfbmt.nkut.edu.tw/,A,2024/8/30,啟用,教育機構,大學/技專校院
590,民間團體,南開科技大學通識教育與外語教學中心,https://nkgen.nkut.edu.tw/,A,2024/8/30,啟用,教育機構,大學/技專校院
591,民間團體,龍華科技大學資訊圖書處,https://il.lhu.edu.tw,A,2024/10/11,啟用,教育機構,大學/技專校院
596,民間團體,南開科技大學推廣教育中心,https://nkcee.nkut.edu.tw/,A,2024/8/26,啟用,教育機構,大學/技專校院
602,民間團體,南開科技大學南開電子報,https://nkepaper.nkut.edu.tw/,A,2024/8/29,啟用,教育機構,大學/技專校院
603,民間團體,龍華科技大學通識教育中心,https://lcs.lhu.edu.tw,A,2024/10/21,啟用,教育機構,大學/技專校院
606,民間團體,南開科技大學圖書資訊處,https://nklio.nkut.edu.tw/,A,2024/8/30,啟用,教育機構,大學/技專校院
607,民間團體,南開科技大學長期照顧與管理系暨福祉科技與服務管理研究所,https://nkltcm.nkut.edu.tw/,A,2023/11/24,啟用,教育機構,大學/技專校院
630,民間團體,優安互連股份有限公司優安互連 - 健康照顧訂閱平台,https://www.uancare.com/,A,2024/9/20,啟用,醫療照護,醫療器材/健康照護服務公司
645,民間團體,中國科技大學,https://www.cute.edu.tw/,AA,2023/10/5,啟用,教育機構,大學/技專校院
666,民間團體,財金資訊股份有限公司官方網站,https://www.fisc.com.tw/,AA,2024/8/27,啟用,金融服務業,銀行/證券/期貨/投信
687,民間團體,三商美邦人壽金融友善服務專區,https://www.mli.com.tw/sites/friendly/home,AAA,2024/9/30,啟用,金融服務業,保險/金融友善服務
715,民間團體,財團法人台灣省私立台灣盲人重建院,http://www.ibt.org.tw/RWD01/default.aspx,A,2024/6/3,啟用,財團法人/公協會,財團法人/基金會/公協會
719,民間團體,僑光科技大學,https://www.ocu.edu.tw,AA,2024/11/15,啟用,教育機構,大學/技專校院
732,民間團體,南亞技術學院,https://www.nanya.edu.tw,A,2024/11/22,啟用,教育機構,大學/技專校院
751,民間團體,元富證券金融友善專區,https://accessible.masterlink.com.tw/index.html,AAA,2024/10/25,啟用,金融服務業,銀行/證券/期貨/投信
759,民間團體,財團法人天主教會嘉義教區附設嘉義縣私立敏道家園,http://www.mindaohome.org.tw/,A,2024/9/27,啟用,財團法人/公協會,財團法人/基金會/公協會
775,民間團體,維聖資訊科技股份有限公司MoodleTW,https://www.moodle.tw,AAA,2023/11/8,啟用,教育機構,教育科技/補教服務公司
779,民間團體,南開科技大學總務處,https://nkaff.nkut.edu.tw/,A,2024/9/26,啟用,教育機構,大學/技專校院
