序號,標章機關名稱,網站名稱,網址,標章等級,檢測日期,標章狀態,大分類,分類
1488,民間團體,臺北市文山運動中心暨景美游泳池,https://wssc.cyc.org.tw/,A,2025/3/19,啟用,生活休閒場館,運動中心/場館
1491,民間團體,新安東京海上友善服務網,https://easyaccess.tmnewa.com.tw,AAA,2025/4/7,啟用,金融服務業,保險/金融友善服務
1492,民間團體,台北海洋科技大學,https://www.tumt.edu.tw/,AA,2024/7/3,啟用,教育機構,大學/技專校院
1504,民間團體,台北富邦銀行金融友善專區,https://www.fubon.com/banking/accessible/,AAA,2024/4/2,啟用,金融服務業,銀行/證券/期貨/投信
1512,民間團體,彰化銀行-友善專區網路ATM,https://eatm.chb.com.tw/accATM/,AA,2024/3/13,啟用,金融服務業,銀行/證券/期貨/投信
1537,民間團體,長榮大學全球資訊網中文版,https://www.cjcu.edu.tw,A,2025/3/26,啟用,教育機構,大學/技專校院
1542,民間團體,淡江大學中文版首頁,https://www.tku.edu.tw,A,2025/7/15,啟用,教育機構,大學/技專校院
1554,民間團體,德育學校財團法人德育護理健康學院幼兒保育系(所),https://child.dyhu.edu.tw/,AA,2025/5/16,啟用,教育機構,大學/技專校院
1560,民間團體,臺北市私立薇閣國民小學 ,https://esweb.wgps.tp.edu.tw/,AA,2024/4/9,啟用,教育機構,中小學/高中/幼兒園(私立)
1564,民間團體,德育學校財團法人德育護理健康學院護理系,https://nur.dyhu.edu.tw/,AA,2025/4/16,啟用,教育機構,大學/技專校院
1565,民間團體,德育學校財團法人德育護理健康學院餐旅廚藝管理系,https://hotel.dyhu.edu.tw,AA,2025/4/14,啟用,教育機構,大學/技專校院
1566,民間團體,樹人醫護管理專科學校,https://www.szmc.edu.tw/,A,2025/3/20,啟用,教育機構,大學/技專校院
1572,民間團體,德育學校財團法人德育護理健康學院高齡照顧福祉系,https://elder.dyhu.edu.tw/,AA,2025/3/28,啟用,教育機構,大學/技專校院
1574,民間團體,龍華科技大學電子工程系,https://el.lhu.edu.tw/,A,2025/3/18,啟用,教育機構,大學/技專校院
1575,民間團體,龍華科技大學觀光休閒系,https://sl.lhu.edu.tw/,A,2025/3/18,啟用,教育機構,大學/技專校院
1576,民間團體,龍華科技大學工業管理系,https://dim.lhu.edu.tw/,A,2025/3/18,啟用,教育機構,大學/技專校院
1589,民間團體,美好金融金融友善專區,https://goodfinance.com/accessibility/,AAA,2024/4/19,啟用,金融服務業,保險/金融友善服務
1591,民間團體,德育學校財團法人德育護理健康學院食品保健系,https://food.dyhu.edu.tw/,AA,2025/3/28,啟用,教育機構,大學/技專校院
1593,民間團體,第一銀行友善金融服務網,https://freebank.firstbank.com.tw/ANB/index.jsp,AA,2024/3/29,啟用,金融服務業,銀行/證券/期貨/投信
1610,民間團體,德育學校財團法人德育護理健康學院秘書室,https://sec.dyhu.edu.tw/,AA,2025/3/28,啟用,教育機構,大學/技專校院
1631,民間團體,澎湖縣第一信用合作社,https://pfcco.scu.org.tw/,A,2024/4/1,啟用,金融服務業,銀行/證券/期貨/投信
1633,民間團體,德育學校財團法人德育護理健康學院環境安全衛生室,https://safety.dyhu.edu.tw/,AA,2025/3/28,啟用,教育機構,大學/技專校院
1634,民間團體,凱基人壽金融友善專區,https://www.kgilife.com.tw/zh-tw/accessible,AAA,2024/3/28,啟用,金融服務業,保險/金融友善服務
1640,民間團體,富邦人壽金融服務友善專區,https://friendly.fubonlife.com.tw/,AAA,2024/4/2,啟用,金融服務業,保險/金融友善服務
1641,民間團體,財團法人農業信用保證基金,https://www.acgf.org.tw,AA,2025/6/16,啟用,財團法人/公協會,財團法人/基金會/公協會
1659,民間團體,龍華科技大學工程學院,https://eng.lhu.edu.tw/,A,2025/3/28,啟用,教育機構,大學/技專校院
1665,民間團體,龍華科技大學機械工程系,https://me.lhu.edu.tw/,A,2025/3/28,啟用,教育機構,大學/技專校院
1667,民間團體,社團法人台北市心生活協會,http://www.heartlife.org.tw,A,2025/4/8,啟用,財團法人/公協會,財團法人/基金會/公協會
1669,民間團體,保誠人壽官方網站金融友善專區,https://www.pcalife.com.tw/zh/easyaccess/,A,2025/4/2,啟用,金融服務業,保險/金融友善服務
1670,民間團體,德育學校財團法人德育護理健康學院會計室,https://acc.dyhu.edu.tw/,AA,2025/4/2,啟用,教育機構,大學/技專校院
1671,民間團體,龍華科技大學資訊管理系,https://im.lhu.edu.tw/,A,2025/3/28,啟用,教育機構,大學/技專校院
1689,民間團體,龍華科技大學應用外語系,https://afl.lhu.edu.tw/,A,2025/4/2,啟用,教育機構,大學/技專校院
1694,民間團體,德育學校財團法人德育護理健康學院美容流行設計系,https://cos.dyhu.edu.tw/,AA,2024/4/11,啟用,教育機構,大學/技專校院
1699,民間團體,德育學校財團法人德育護理健康學院健康產業管理研究所,https://ihi.dyhu.edu.tw/,AA,2025/4/8,啟用,教育機構,大學/技專校院
1710,民間團體,楊梅體育園區官方網站,https://ymscwdyg.com.tw,A,2024/3/29,啟用,生活休閒場館,運動中心/場館
1749,民間團體,兆銀資訊官方網站,https://www.megasilver.com.tw/,AAA,2024/4/11,啟用,金融服務業,銀行/證券/期貨/投信
1751,民間團體,德育學校財團法人德育護理健康學院推廣教育中心,https://tra.dyhu.edu.tw,AA,2024/4/2,啟用,教育機構,大學/技專校院
1754,民間團體,彰化銀行友善專區,https://ae.chb.com.tw/accessible/faces/login/Login,AA,2024/4/26,啟用,金融服務業,銀行/證券/期貨/投信
1765,民間團體,大直橋下迎風水域休憩碼頭,https://dazin-gosup.com.tw/,A,2024/3/27,啟用,生活休閒場館,觀光/休閒/文化園區
1788,民間團體,和泰產險金融友善服務專區,https://web-act.hotains.com.tw/,AAA,2024/4/1,啟用,金融服務業,保險/金融友善服務
1796,民間團體,德育學校財團法人德育護理健康學院總務處,https://ga.dyhu.edu.tw,AA,2024/4/8,啟用,教育機構,大學/技專校院
1797,民間團體,兆豐銀行網路ATM友善專區,https://handicap-free.megabank.com.tw/accwebatm,AA,2024/4/26,啟用,金融服務業,銀行/證券/期貨/投信
1799,民間團體,德育學校財團法人德育護理健康學院觀光休閒與健康系,https://ath.dyhu.edu.tw/,AA,2024/4/17,啟用,教育機構,大學/技專校院
1803,民間團體,台灣高鐵企業網站,https://www.thsrc.com.tw/,AA,2024/4/1,啟用,一般企業,交通運輸事業
1811,民間團體,陽信銀行友善網路銀行,https://freebank.esunnybank.com.tw/sunnyNBFreeGo/,A,2024/4/9,啟用,金融服務業,銀行/證券/期貨/投信
1813,民間團體,東海大學,https://www.thu.edu.tw,AA,2024/4/15,啟用,教育機構,大學/技專校院
1814,民間團體,第一銀行簡易eATM網路理財機,https://eatm.firstbank.com.tw/fwebatm,A,2024/3/28,啟用,金融服務業,銀行/證券/期貨/投信
1829,民間團體,元大期貨金融友善服務專區,https://friendly.yuantafutures.com.tw,AA,2024/4/8,啟用,金融服務業,銀行/證券/期貨/投信
1832,民間團體,J米資訊工作室,https://jmicodelab.com/,AA,2024/4/11,啟用,個人網站/工作室,個人網站/工作室
1834,民間團體,崑山科技大學,https://www.ksu.edu.tw/,A,2024/4/25,啟用,教育機構,大學/技專校院
1837,民間團體,法國巴黎人壽企業網站,https://easyaccess.life.cardif.com.tw/,AAA,2024/4/12,啟用,金融服務業,保險/金融友善服務
1850,民間團體,臺北市內湖運動中心,https://nhsc.cyc.org.tw/,A,2024/4/29,啟用,生活休閒場館,運動中心/場館
1851,民間團體,臺中市朝馬運動中心,https://cmcsc.cyc.org.tw/,A,2024/4/22,啟用,生活休閒場館,運動中心/場館
1859,民間團體,大葉大學運動健康管理學系,https://bsm.dyu.edu.tw/,AA,2024/4/16,啟用,教育機構,大學/技專校院
1871,民間團體,臺灣產物保險官方網站,https://www.tfmi.com.tw,A,2024/4/19,啟用,金融服務業,保險/金融友善服務
1877,民間團體,樂天友善網路銀行,https://accessibility.rakuten-bank.com.tw/IHMQU0001/010,AA,2024/5/28,啟用,金融服務業,銀行/證券/期貨/投信
1878,民間團體,德育學校財團法人德育護理健康學院口腔衛生照護系,https://oral.dyhu.edu.tw/,AA,2025/7/15,啟用,教育機構,大學/技專校院
1879,民間團體,德育學校財團法人德育護理健康學院通識教育中心,https://ge.dyhu.edu.tw,AA,2025/8/15,啟用,教育機構,大學/技專校院
1880,民間團體,德育學校財團法人德育護理健康學院圖書資訊中心資訊組,https://cc.dyhu.edu.tw/,AA,2025/7/28,啟用,教育機構,大學/技專校院
1902,民間團體,南山人壽金融友善服務專區,https://accessibility.nanshanlife.com.tw/,AA,2025/7/15,啟用,金融服務業,保險/金融友善服務
1934,民間團體,財團法人臺灣民主基金會,https://www.tfd.org.tw/,AA,2025/8/11,啟用,財團法人/公協會,財團法人/基金會/公協會
1942,民間團體,華泰銀行簡便網路ATM,https://webatm.hwataibank.com.tw/freeatm,A,2024/5/20,啟用,金融服務業,銀行/證券/期貨/投信
1987,民間團體,金門縣信用合作社,https://kinmen.scu.org.tw,A,2025/7/17,啟用,金融服務業,銀行/證券/期貨/投信
1990,民間團體,陽信銀行金融友善服務網,https://service.sunnybank.com.tw/portal/accessible/,A,2025/7/22,啟用,金融服務業,銀行/證券/期貨/投信
2048,民間團體,嶺東科技大學,https://www.ltu.edu.tw/,AA,2025/8/19,啟用,教育機構,大學/技專校院
2063,民間團體,臺灣期貨交易所,https://www.taifex.com.tw/cht/index,AA,2025/9/11,啟用,金融服務業,銀行/證券/期貨/投信
2105,民間團體,德育學校財團法人德育護理健康學院國際專修部,https://ia.dyhu.edu.tw/,AA,2025/8/5,啟用,教育機構,大學/技專校院
2107,民間團體,台灣智園有限公司TronClass,https://accessibility.tronclass.com/,AA,2024/7/17,啟用,教育機構,教育科技/補教服務公司
2135,民間團體,彰化銀行公司資訊揭露網站,https://esg.chb.com.tw,AA,2025/10/21,啟用,金融服務業,銀行/證券/期貨/投信
2137,民間團體,華南銀行全球資訊網,https://www.hncb.com.tw/,AA,2025/7/17,啟用,金融服務業,銀行/證券/期貨/投信
2140,民間團體,玉山銀行金融友善網銀,https://accessibleebank.esunbank.com.tw/accessibleindex.jsp,AA,2024/6/3,啟用,金融服務業,銀行/證券/期貨/投信
2156,民間團體,京城銀行-個人網路銀行(簡易版),http://61.59.111.171/KTBPIBP3/WebApi/www_accessible_0422/,A,2024/7/1,啟用,金融服務業,銀行/證券/期貨/投信
2190,民間團體,德育學校財團法人德育護理健康學院人事室,https://per.dyhu.edu.tw/,AA,2025/8/28,啟用,教育機構,大學/技專校院
2200,民間團體,德育學校財團法人德育護理健康學院研究發展處,https://rd.dyhu.edu.tw/,AA,2025/9/5,啟用,教育機構,大學/技專校院
2213,民間團體,東海大學英文網站,https://eng.thu.edu.tw/,AA,2025/8/28,啟用,教育機構,大學/技專校院
2233,民間團體,德育學校財團法人德育護理健康學院秋瑾紀念圖書館,https://lib.dyhu.edu.tw/,AA,2025/8/19,啟用,教育機構,大學/技專校院
2283,民間團體,台南市第三信用合作社,https://ttc.scu.org.tw/,A,2025/12/29,啟用,金融服務業,銀行/證券/期貨/投信
2286,民間團體,強制汽車責任保險網站,https://www.cali.org.tw/,AA,2025/9/22,啟用,金融服務業,保險/金融友善服務
2290,民間團體,臺南市觀光工廠,https://www.tourismfactory.tw/,A,2026/3/23,啟用,生活休閒場館,觀光/休閒/文化園區
2295,民間團體,台中慈濟醫院友善服務專區,https://tc-accessibility.tzuchi.com.tw/,A,2024/5/27,啟用,醫療照護,醫療院所
2316,民間團體,財團法人法律扶助基金會官方網站,https://www.laf.org.tw/,A,2025/11/3,啟用,財團法人/公協會,財團法人/基金會/公協會
2320,民間團體,德育學校財團法人德育護理健康學院學生事務處,https://dsa.dyhu.edu.tw/,AA,2025/10/13,啟用,教育機構,大學/技專校院
2321,民間團體,工業技術研究院再生能源資訊網,https://www.re.org.tw/,AA,2025/8/27,啟用,財團法人/公協會,政府捐助/委辦法人機構
2323,民間團體,中國文化大學官網,https://www.pccu.edu.tw/,AA,2025/9/18,啟用,教育機構,大學/技專校院
2335,民間團體,台新證券金融友善服務專區,https://friendly.tssco.com.tw/,A,2025/11/13,啟用,金融服務業,銀行/證券/期貨/投信
2346,民間團體,新光人壽智能客服,https://robot.skl.com.tw/Webhook/,AA,2025/10/8,啟用,金融服務業,保險/金融友善服務
2352,民間團體,渣打國際商業銀行網路ATM,https://vibank.standardchartered.com.tw/SCBVIWebATM/Home/login,A,2024/7/17,啟用,金融服務業,銀行/證券/期貨/投信
2359,民間團體,大葉大學-資訊工程學系,https://csie.dyu.edu.tw/,AA,2025/9/25,啟用,教育機構,大學/技專校院
2360,民間團體,東吳大學中文官方網站,https://www-ch.scu.edu.tw/,AA,2025/9/30,啟用,教育機構,大學/技專校院
2367,民間團體,臺北市私立薇閣國民小學附設幼兒園,https://psweb.wgps.tp.edu.tw,AA,2025/11/28,啟用,教育機構,中小學/高中/幼兒園(私立)
2370,民間團體,嘉義產業創新研發中心,https://www.ciic.org.tw,A,2025/9/16,啟用,財團法人/公協會,政府捐助/委辦法人機構
2377,民間團體,華南銀行友善金融服務網,https://lovebank.hncb.com.tw/abank/,AA,2024/6/26,啟用,金融服務業,銀行/證券/期貨/投信
2404,民間團體,財團法人中華民國證券暨期貨市場發展基金會官網 ,https://www.sfi.org.tw,AA,2025/10/22,啟用,金融服務業,銀行/證券/期貨/投信
2407,民間團體,第一產物保險公平待客專區,https://friendly.firstins.com.tw/firstins/customerFair.html,AAA,2025/10/23,啟用,金融服務業,保險/金融友善服務
2414,民間團體,華泰商業銀行簡便個人網路銀行,https://netbank.hwataibank.com.tw/AConsumerBank/,A,2024/7/11,啟用,金融服務業,銀行/證券/期貨/投信
2415,民間團體,南臺科技大學,https://www.stust.edu.tw,AA,2025/10/2,啟用,教育機構,大學/技專校院
2431,民間團體,財團法人紡織產業綜合研究所,https://www.ttri.org.tw/,AA,2025/10/22,啟用,財團法人/公協會,政府捐助/委辦法人機構
2459,民間團體,新光產險金融友善網站,https://ac.sk-ins.com.tw/,AAA,2025/10/23,啟用,金融服務業,保險/金融友善服務
2469,民間團體,大葉大學-財務金融學系,https://fm.dyu.edu.tw/,AA,2025/12/2,啟用,教育機構,大學/技專校院
2480,民間團體,第一銀行友善金融服務網-主頁及金融資訊,https://bankfree.firstbank.com.tw/ANB3A/,AAA,2025/10/31,啟用,金融服務業,銀行/證券/期貨/投信
2518,民間團體,清泉醫院,https://www.ching-chyuan.com.tw/,A,2025/10/23,啟用,醫療照護,醫療院所
2533,民間團體,SONORA 洲投資宣導網站,https://www.investsonora.org/,AA,2025/12/5,啟用,金融服務業,銀行/證券/期貨/投信
2541,民間團體,財團法人資訊工業策進會綠色數位市集,https://gdm.ideaschain.com.tw,AA,2024/7/19,啟用,財團法人/公協會,政府捐助/委辦法人機構
2543,民間團體,桃園市中壢運動中心,https://zlcsc.cyc.org.tw/,A,2025/11/25,啟用,生活休閒場館,運動中心/場館
2545,民間團體,凱基人壽保障型保險商品平台金融友善專區,https://e-commerce.kgilife.com.tw/ECFRS/accessible/FundRich.action,AAA,2024/11/6,啟用,金融服務業,保險/金融友善服務
2559,民間團體,大葉大學-學生事務處,https://sa.dyu.edu.tw/,AA,2026/3/19,啟用,教育機構,大學/技專校院
2560,民間團體,亞洲大學秘書室,https://sec.asia.edu.tw,A,2025/12/30,啟用,教育機構,大學/技專校院
2575,民間團體,苗栗縣苗北藝文中心,https://www.miaobeiac.org/,A,2025/12/8,啟用,生活休閒場館,博物館/藝文/展演機構
2578,民間團體,財團法人原住民族語言研究發展基金會,https://www.ilrdf.org.tw/,AA,2025/12/30,啟用,財團法人/公協會,財團法人/基金會/公協會
2594,民間團體,TWNIC 財團法人台灣網路資訊中心 APrIGF 2024,https://aprigf.tw/,A,2024/8/6,啟用,財團法人/公協會,政府捐助/委辦法人機構
2597,民間團體,財團法人台灣金融研訓院官方網站,https://www.tabf.org.tw/,AA,2025/12/29,啟用,財團法人/公協會,財團法人/基金會/公協會
2600,民間團體,三信商銀簡易網銀服務,https://ibank.cotabank.com.tw/ibank/,A,2024/11/8,啟用,金融服務業,銀行/證券/期貨/投信
2608,民間團體,龍華科技大學,https://www.lhu.edu.tw,A,2025/11/26,啟用,教育機構,大學/技專校院
2613,民間團體,亞洲大學資訊發展處,https://ic.asia.edu.tw,A,2026/3/30,啟用,教育機構,大學/技專校院
2617,民間團體,航空教育展示館,https://www.aeeh.com.tw/,A,2025/12/23,啟用,生活休閒場館,觀光/休閒/文化園區
2618,民間團體,航空教育展示館(英文版),https://en.aeeh.com.tw/,A,2025/12/23,啟用,生活休閒場館,觀光/休閒/文化園區
2634,民間團體,中國醫藥大學-Moodle數位學習系統,https://moodle.cmu.edu.tw,A,2024/8/12,啟用,教育機構,大學/技專校院
2647,民間團體,富邦人壽永續友善專區,https://esgfriendly.fubonlife.com.tw/,AA,2025/11/28,啟用,金融服務業,保險/金融友善服務
2655,民間團體,財團法人金融消費評議中心官方網站,https://www.foi.org.tw/ ,AA,2026/1/19,啟用,財團法人/公協會,財團法人/基金會/公協會
2664,民間團體,富邦人壽公平待客原則專區,https://tcfp.fubonlife.com.tw/tcfp/,AA,2026/1/12,啟用,金融服務業,保險/金融友善服務
2695,民間團體,私立德育護理健康學院附設基隆市幼兒園,https://kids.dyhu.edu.tw/,AA,2026/1/27,啟用,教育機構,中小學/高中/幼兒園(私立)
2717,民間團體,財團法人保險事業發展中心全球資訊網,https://www.tii.org.tw/,AA,2025/12/24,啟用,金融服務業,保險/金融友善服務
2732,民間團體,國泰人壽金融友善服務網頁,https://www.cathaylife.com.tw/cathaylifeins/EasyAccess/main,AAA,2026/2/9,啟用,金融服務業,保險/金融友善服務
2746,民間團體,德育學校財團法人德育護理健康學院校務研究辦公室,https://ir.dyhu.edu.tw/,AA,2024/9/2,啟用,教育機構,大學/技專校院
2748,民間團體,大葉大學-企業管理學系,https://ba.dyu.edu.tw/,AA,2026/3/17,啟用,教育機構,大學/技專校院
2750,民間團體,玉山銀行官方網站,https://www.esunbank.com/,A,2024/10/4,啟用,金融服務業,銀行/證券/期貨/投信
2783,民間團體,柏瑞投資理財網,https://www.pinebridge.com.tw/Accessible/,AA,2024/9/12,啟用,金融服務業,銀行/證券/期貨/投信
2784,民間團體,臺北市天母棒球場,http://tianmu.wdragons-bs.com/,A,2026/1/29,啟用,生活休閒場館,運動中心/場館
2795,民間團體,凱基銀行友善金融服務專區,https://www.kgibank.com/kgibank/Accessibility/,AAA,2026/1/30,啟用,金融服務業,銀行/證券/期貨/投信
2857,民間團體,光宇學校財團法人元培醫事科技大學,https://www.ypu.edu.tw,AA,2024/9/24,啟用,教育機構,大學/技專校院
2858,民間團體,中華電信友善專區,https://accessibility.cht.com.tw/,AA,2026/1/29,啟用,一般企業,電信公司
2859,民間團體,第一產物保險金融友善專區,https://friendly.firstins.com.tw/firstins/friendlyService.html,A,2024/11/7,啟用,金融服務業,保險/金融友善服務
2912,民間團體,高雄市南區輔具資源中心,https://www.kssouth.org.tw,A,2026/3/12,啟用,輔具資源中心,輔具資源中心
2923,民間團體,合作金庫證券金融友善專區,https://friendly.tcfhc-sec.com.tw,AA,2026/3/24,啟用,金融服務業,銀行/證券/期貨/投信
2938,民間團體,兆豐保險友善服務專區,https://accessibility.cki.com.tw/,AAA,2025/8/26,啟用,金融服務業,保險/金融友善服務
2976,民間團體,高雄市北區輔具資源中心,https://www.penganfg.org.tw,A,2024/10/9,啟用,輔具資源中心,輔具資源中心
2997,民間團體,慈濟大學,https://www.tcu.edu.tw/,AA,2026/3/10,啟用,教育機構,大學/技專校院
3014,民間團體,街口投信-金融友善服務專區,https://www.jkoam.com/accessibility/,AA,2024/10/25,啟用,金融服務業,銀行/證券/期貨/投信
3042,民間團體,財團法人桃園市客家文化基金會天光雜貨店,https://www.tiengong.com.tw/,A,2024/10/4,啟用,財團法人/公協會,財團法人/基金會/公協會
3046,民間團體,無障礙全球資訊網,https://www.batol.net/,AAA,2024/10/8,啟用,醫療照護,社福/身心障礙服務機構
3049,民間團體,明台產物保險股份有限公司金融友善服務,https://friendly.msig-mingtai.com.tw/,AA,2024/10/4,啟用,金融服務業,保險/金融友善服務
3069,民間團體,私立華梵大學,https://www.hfu.edu.tw/,AA,2024/10/18,啟用,教育機構,大學/技專校院
3090,民間團體,沙崙綠能科技示範場域,https://www.sgetds.org.tw/,AA,2024/10/24,啟用,財團法人/公協會,政府捐助/委辦法人機構
3097,民間團體,桃園市北區輔具資源中心,https://www.tyad.org.tw/,A,2024/10/21,啟用,輔具資源中心,輔具資源中心
3111,民間團體,財團法人住宅地震保險基金網站,https://www.treif.org.tw/,AA,2024/10/15,啟用,金融服務業,保險/金融友善服務
3123,民間團體,桃園市南區輔具資源中心,https://ntyc.com.tw/,AA,2024/10/21,啟用,輔具資源中心,輔具資源中心
3142,民間團體,天主教靈醫會醫療財團法人羅東聖母醫院網站,https://www.smh.org.tw/,A,2024/10/21,啟用,醫療照護,醫療院所
3184,民間團體,AI Amaze 網路聊天助手,https://website.ai-amaze.com/accessibility,AAA,2024/10/24,啟用,一般企業,科技/資訊公司
3200,民間團體,財團法人汽車交通事故特別補償基金,https://www.mvacf.org.tw/,AA,2024/11/11,啟用,財團法人/公協會,財團法人/基金會/公協會
3208,民間團體,台新銀行網路ATM友善服務網,https://ac.taishinbank.com.tw/AccWeb/AC/,A,2024/12/17,啟用,金融服務業,銀行/證券/期貨/投信
3225,民間團體, 財團法人原住民族語言研究發展基金會試題徵題報名網站,https://siking.ilrdf.org.tw/Registration,A,2024/10/31,啟用,財團法人/公協會,財團法人/基金會/公協會
3232,民間團體,藝淇數位設計政府標案網站設計建置服務,https://www.csidea.org.tw/,AAA,2024/10/30,啟用,一般企業,科技/資訊公司
3262,民間團體,瑪利亞社會福利基金會AAC溝通50+,https://aac.maria.org.tw/,AA,2024/11/5,啟用,財團法人/公協會,財團法人/基金會/公協會
3263,民間團體,國家運動科學中心,https://www.tiss.org.tw,A,2024/11/15,啟用,財團法人/公協會,政府捐助/委辦法人機構
3308,民間團體,永豐金證券 金融友善服務專區,https://www.sinotrade.com.tw/Friendly_service,AAA,2024/11/6,啟用,金融服務業,銀行/證券/期貨/投信
3344,民間團體,臺北城市科技大學,https://www.tpcu.edu.tw/,A,2026/3/31,啟用,教育機構,大學/技專校院
3347,民間團體,新竹市天指教私立曙光國小,https://www.sgps.hc.edu.tw/,AA,2024/11/12,啟用,教育機構,中小學/高中/幼兒園(私立)
3363,民間團體,銘傳大學首頁,https://web2.mcu.edu.tw/,AA,2026/3/30,啟用,教育機構,大學/技專校院
3393,民間團體,中華民國女法官協會,https://www.wjaroc.org.tw/,AA,2024/11/19,啟用,財團法人/公協會,財團法人/基金會/公協會
3404,民間團體,臺中市立大里高級中學,https://dlsh.tc.edu.tw/,A,2024/11/19,啟用,教育機構,中小學/高中/幼兒園(私立)
3409,民間團體,大葉大學視光學系,https://opt.dyu.edu.tw/,AA,2024/11/21,啟用,教育機構,大學/技專校院
3439,民間團體,彰化商業銀行官方網站,https://www.bankchb.com/,AA,2024/12/16,啟用,金融服務業,銀行/證券/期貨/投信
3442,民間團體,東海大學 Tunghai University（體驗網站）,https://ilearnaa.thu.edu.tw,A,2024/11/2,啟用,教育機構,大學/技專校院
3448,民間團體,NVDA 台灣,https://www.nvda.org.tw/,A,2024/11/20,啟用,醫療照護,社福/身心障礙服務機構
3457,民間團體,財團法人金屬工業研究發展中心海洋科技產業創新專區,https://www.mtic.org.tw/,AA,2024/11/19,啟用,財團法人/公協會,政府捐助/委辦法人機構
3468,民間團體,宜蘭信用合作社,https://ilan.scu.org.tw/,A,2026/3/27,啟用,金融服務業,銀行/證券/期貨/投信
3471,民間團體,財團法人證券投資人及期貨交易人保護中心官網,https://www.sfipc.org.tw,AA,2026/3/30,啟用,金融服務業,銀行/證券/期貨/投信
3476,民間團體,新竹市竹光運動中心,https://zgcsc.cyc.org.tw/,A,2024/11/20,啟用,生活休閒場館,運動中心/場館
3516,民間團體,宏國德霖科技大學-數位教學平台系統,https://moodle.hdut.edu.tw,A,2024/12/11,啟用,教育機構,大學/技專校院
3518,民間團體,財團法人台灣綜合研究院再生能源義務(用電大戶)服務網,https://www.reo.org.tw/,AA,2024/12/6,啟用,財團法人/公協會,財團法人/基金會/公協會
3523,民間團體,樹德科技大學全球資訊網,https://www.stu.edu.tw,A,2025/6/9,啟用,教育機構,大學/技專校院
3547,民間團體,京城銀行-友善金融專區,https://netbank.ktb.com.tw/KTBPIB/WebApi/accessibility/,A,2024/12/9,啟用,金融服務業,銀行/證券/期貨/投信
3549,民間團體,e-Bill全國繳費網,https://ebill.ba.org.tw/,AA,2024/12/20,啟用,金融服務業,銀行/證券/期貨/投信
3554,民間團體,工業技術研究院能源知識庫,https://km.twenergy.org.tw/,A,2024/11/29,啟用,財團法人/公協會,政府捐助/委辦法人機構
3558,民間團體,工業技術研究院2050能源部門淨零網站,https://2050nzea.tw,A,2026/3/30,啟用,財團法人/公協會,政府捐助/委辦法人機構
3598,民間團體,臺灣企銀友善專區網路銀行,https://nnb.tbb.com.tw/TBBANNBWEB/,AA,2025/1/23,啟用,金融服務業,銀行/證券/期貨/投信
3606,民間團體,財團法人愛盲基金會有聲點字圖書館,https://lib.blindness.org.tw/,AA,2026/2/25,啟用,財團法人/公協會,財團法人/基金會/公協會
3625,民間團體,景文科技大學圖資處官網,https://lis.just.edu.tw/,AA,2026/3/31,啟用,教育機構,大學/技專校院
3629,民間團體,臺灣消除C型肝炎國際研討會,https://www.taiwan-hcv-elimination-conference.org.tw/,AA,2024/12/16,啟用,醫療照護,社福/身心障礙服務機構
3630,民間團體,群益期貨金融網,https://www.capitalfutures.com.tw,A,2024/12/19,啟用,金融服務業,銀行/證券/期貨/投信
3639,民間團體,玉山證券金融友善服務專區,https://friendly.esunsec.com.tw/,A,2026/3/31,啟用,金融服務業,銀行/證券/期貨/投信
3644,民間團體,中華民國期貨業商業同業公會金融友善服務專區,https://acc.futures.org.tw/,AA,2026/2/25,啟用,金融服務業,銀行/證券/期貨/投信
3646,民間團體,臺灣證券交易所金融友善服務專區,https://accessibility.twse.com.tw/,AA,2024/12/30,啟用,金融服務業,銀行/證券/期貨/投信
3679,民間團體,國立臺灣師範大學能源教育資訊網,https://energy.mt.ntnu.edu.tw/,AA,2026/3/27,啟用,教育機構,大學/技專校院
3682,民間團體,晶片資安第一站,https://csl.iii.org.tw/,A,2025/1/3,啟用,財團法人/公協會,政府捐助/委辦法人機構
3703,民間團體,財團法人賑災基金會,https://www.tf4dr.org/,A,2026/2/24,啟用,財團法人/公協會,財團法人/基金會/公協會
3704,民間團體,雍盛科技路燈管理系統展示平台,https://test.ysong.com.tw/czlamp/,AA,2025/1/3,啟用,一般企業,能源/公用事業
3713,民間團體,TOTO台灣官網,https://www.twtoto.com.tw/accessible/,AA,2026/2/24,啟用,一般企業,一般企業(製造/零售/顧問/品牌)
3715,民間團體,新竹市輔具資源中心,https://www.hcarc.com.tw,AA,2024/12/30,啟用,輔具資源中心,輔具資源中心
3725,民間團體,安達人壽金融友善服務,https://esales.chubblife.com.tw/accessibility/,AA,2026/3/18,啟用,金融服務業,保險/金融友善服務
3735,民間團體,高壓用電設備試驗與審查資訊系統,https://www.highvoltage.org.tw,A,2026/3/19,啟用,財團法人/公協會,政府捐助/委辦法人機構
3755,民間團體,明新學校財團法人明新科技大學 ,https://www.must.edu.tw,AA,2025/1/9,啟用,教育機構,大學/技專校院
3784,民間團體,社團法人屏東縣輔具應用及身心健康促進協會屏東縣輔具資源中心,https://www.ptat-sbptclinic.com.tw/,A,2025/2/3,啟用,財團法人/公協會,財團法人/基金會/公協會
3801,民間團體,蜜望實企業 Honey Hope Honesty,https://www.threehhh.com.tw/,AA,2025/2/10,啟用,一般企業,一般企業(製造/零售/顧問/品牌)
